300679530XW1X|04A219106|KENTMETERS||15MA206833|ACTARIS||0|14232142|14100504
3006795342W19|14BU031308|SCHLUMBERGER||13LU002793|SCHLUMBERGER||0|13840208|14247994
3006809017W10|05680569|PONTAMOUSSON||00409360|NEPTUNE||0|10040559|10040564
3006809068W17|02118454|SOCAMOUSSON||01989554|SOCAMOUSSON||0|10041385|10041390
3006815319W13|13MA275186|ACTARIS||15MA029948|ACTARIS||0|13763581|14044609
3006815327W10|11MA004641|ACTARIS||15JB047300|ACTARIS||0|13287010|14110690
3006815327W10|11MA004641|ACTARIS||00016916|KENTMETERS||0|13287010|10042985
3006819624W11|81123757|KENTMETERS||80028833|KENTMETERS||0|10003822|10003827
3006835026W14|14KD013783|SCHLUMBERGER||12008181|UNKNOWN||0|13857711|13835224
3006835026W14|14KD013783|SCHLUMBERGER||99007050|UNKNOWN||0|13857711|
3006847636W14|12MA094583|ACTARIS||99806555|KENTMETERS||0|13537202|10541457
3006888065W18|98214557|KENTMETERS||98130142|KENTMETERS||0|10148078|10103931
3006952243W15|13W711467A|KENTMETERS||11029983|ACTARIS||0|13907425|13386580
3006983394W11|928044371|KENTMETERS||10052370|ACTARIS||0|10522145|13250595
3006993314W11|09027702|SCHLUMBERGER||07018037|SCHLUMBERGER||0||10033238
3006993969W13|15JB040661|ACTARIS||15BU023083|SCHLUMBERGER||0|14074581|14092754
3006994744W11|96161542|KENTMETERS||14JU006219|SCHLUMBERGER||0|10043464|13943511
3007065976W14|11014690|ACTARIS||15JC128706|ACTARIS||0|13267625|14187073
300706600XW1X|13BU015343|SCHLUMBERGER||11070801|ACTARIS||0|13601947|13292257
300706600XW1X|13BU015343|SCHLUMBERGER||05960970|SOCAMOUSSON||0|13601947|10001291
3007072859W13|12LU12974|ACTARIS||12LU12972|ACTARIS||0|13903976|13794995
300709688XW1X|99802211|KENTMETERS||11UO022859|SCHLUMBERGER||0|10004717|14237020
3007097983W15|83102122|KENTMETERS||05468794|SOCAMOUSSON||0|10006930|10006939
3007102634W11|00014322|NEPTUNE||98098296|KENTMETERS||0|10038553|10038558
3007103703W15|05820035|SCHLUMBERGER||98261118|KENTMETERS||0|10033662|10033667
3007104645W18|07103117|SCHLUMBERGER||11159374|ACTARIS||0|10008347|13343910
3007104653W15|13KC122593|ACTARIS||99010068|KENTMETERS||0|13626511|10008381
300710467XW1X|15BU107627|ACTARIS||13MA260112|ACTARIS||0|14181701|13753026
3007104734W11|93030899|KENTMETERS||00230779|UNKNOWN||0|10034464|10034469
3007148499W13|97539573|KENTMETERS||02001327|PONTAMOUSSON||0|11176607|11122546
3007226910W16|14MA218307|ACTARIS||13MA007590|ACTARIS||0|13923690|13584611
3007230144W11|14JU000155|SCHLUMBERGER||05959146|SOCAMOUSSON||0|13847715|10054575
3007269458W17|14JU000326|SCHLUMBERGER||15BU025653|SCHLUMBERGER||0|13870594|14003496
3007335558W17|04295721|SOCAMOUSSON||97536720|KENTMETERS||0|10004635|10004640
