13XF109664|SCHLUMBERGER|11204039402|0.00|13722729
01512243|UNKNOWN|05191060901|0.00|10084354
11065520|SCHLUMBERGER|11107003601|0.00|13750232
14XH019270|SCHLUMBERGER|14111010701|0.00|13901770
14XH019270|SCHLUMBERGER|14111010801|0.00|13901770
14XH019270|SCHLUMBERGER|14111011001|0.00|13901770
13XF072417|SCHLUMBERGER|09025983401|0.00|13854248
52910003002|UNKNOWN|05291000300|100.00|
52910003003|UNKNOWN|05291000300|0.00|
52910003012|UNKNOWN|05291000301|100.00|
52910003021|UNKNOWN|05291000302|100.00|
25-1G110|UNKNOWN|05291002100|100.00|
52910059012|UNKNOWN|05291005901|0.00|
52910634002|UNKNOWN|05291063400|100.00|
529106520011|UNKNOWN|05291065200|0.00|
529106520012|UNKNOWN|05291065200|0.00|
52910652002|UNKNOWN|05291065200|0.00|
52910652004|UNKNOWN|05291065200|0.00|
52910652005|UNKNOWN|05291065200|0.00|
52910652006|UNKNOWN|05291065200|0.00|
52910652009|UNKNOWN|05291065200|0.00|
52910652012|UNKNOWN|05291065201|100.00|
52910687011|UNKNOWN|05291068701|100.00|
52910687013|UNKNOWN|05291068701|100.00|
52910687014|UNKNOWN|05291068701|100.00|
52920087002|UNKNOWN|05292008700|0.00|
52920145003|UNKNOWN|05292014500|100.00|
52920161003|UNKNOWN|05292016100|0.00|
52920161004|UNKNOWN|05292016100|100.00|
52920437002|UNKNOWN|05292043700|0.00|
52920437004|UNKNOWN|05292043700|100.00|
52920437005|UNKNOWN|05292043700|100.00|
52920437006|UNKNOWN|05292043700|100.00|
52920437007|UNKNOWN|05292043700|100.00|
52920437008|UNKNOWN|05292043700|100.00|
99A818835|UNKNOWN|05292054600|100.00|
112040352017|UNKNOWN|11204035201|100.00|
112040356014|UNKNOWN|11204035601|100.00|
112040357012|UNKNOWN|11204035701|100.00|
112040361013|UNKNOWN|11204036101|100.00|
112040377011|UNKNOWN|11204037701|100.00|
112040380011|UNKNOWN|11204038001|100.00|
