02AA566285|SCHLUMBERGER|3005036960S13
04IL1F006961|WATEAU|3005036979S10
07019723|ARAD|3005037061S1X
07019801|ARAD|300503707XS17
08AC007630|ARAD|3005037096S11
01M218309|KENT|3005037126S11
01AU190897|SCHLUMBERGER|3005037185S15
13AC025114|ARAD|3005037207S18
O7034835|ARAD|3005037207S18
12AC026042|ARAD|3005037215S15
01AU157237|SCHLUMBERGER|3005037223S12
04WM049795|WATEAU|3005037266S11
07003944|SCHLUMBERGER|3005037363W15
09AC00066533|ARAD|3005037452S16
03IL1F001499|WATEAU|3005037495S15
98AQ350656|SCHLUMBERGER|3005037622S16
07006497|ARAD|3005037673S12
06WM112707|WATEAU|3005037673S12
98A160183|KENT|3005037770S13
07019724|ARAD|3005037789S10
02AU161360|SCHLUMBERGER|3005037851S1X
07500152|ARAD|3005037878S14
07019556|ARAD|3005038025S15
07A172496|KENT|3005038297S18
02AU155260|SCHLUMBERGER|3005038432S16
07011009|ARAD|3005038459S10
08AC040930|ARAD|3005038475S15
98M122755|KENT|3005038491S1X
058211126|SCHLUMBERGER|3005038696W14
01PD501331|KENT|300503870XS17
97M801955|KENT|3005038718S14
06WM101285|WATEAU|3005038734S19
W03M006134|WATEAU|3005038823S12
00AL034527|SCHLUMBERGER|300503898XS17
07017503|ARAD|3005039005S15
99209155|KENTMETERS|3005039021W12
07036247|ARAD|3005039099S10
08AC026971|ARAD|3005039110S13
15T005082|ELSTER|3005039137S18
00AM012169|SCHLUMBERGER|300503917XS17
00AM059040|SCHLUMBERGER|3005039242S16
09AC00066362|ARAD|3005039471S1X
0650WST14606|ARAD|300503948XS17
07017037|ARAD|3005039722S16
16M091296|ELSTER|3005039862S16
05118184|SOCAMOUSSON|3005039897W10
13MS0650|ARAD|3005039900S13
08AI001617|ARAD|300504002XS17
08AC007685|ARAD|3005040046S11
07A141719|ELSTER|3005040097S18
99AQ508237|SCHLUMBERGER|3005040186S11
01M079799|KENT|3005040216S11
02AU155275|SCHLUMBERGER|3005040267S18
02AA564565|SCHLUMBERGER|3005040321S1X
07022290|ARAD|3005040763S12
06IL1F013680|WATEAU|3005040879S10
98AQ343743|SCHLUMBERGER|3005041107S18
05WM069157|WATEAU|300504114XS17
98M227479|KENT|3005041174S19
07IL1F018172|WATEAU|3005041328S14
01AA704596|SCHLUMBERGER|3005041344S19
13AC024779|ARAD|3005041387S18
15MA231303|ACTARIS|3005041492W19
02AU159966|SCHLUMBERGER|3005041735S15
07019057|ARAD|3005041824S19
07019722|ARAD|3005041832S16
01AA694135|SCHLUMBERGER|3005041859S10
02AU157785|SCHLUMBERGER|3005041867S18
14M571685|ELSTER|3005041875S15
08AC027448|ARAD|3005041883S12
02AU162287|SCHLUMBERGER|3005041905S15
12MA096634|ACTARIS|3005042081W12
02AU173473|SCHLUMBERGER|3005042146S11
08AC027458|ARAD|3005042219S10
07012268|ARAD|3005042235S15
05A035505|KENT|3005042464S19
11019540|SCHLUMBERGER|3005042758W17
07022276|ARAD|3005043037S18
01AU185746|SCHLUMBERGER|3005043185S15
03173654|SCHLUMBERGER|300504324XW1X
07019553|ARAD|3005043304S19
10072247|ACTARIS|3005043355W18
01AU191914|SCHLUMBERGER|3005043371S1X
15M502440|ELSTER|3005043525S15
09AC00066088|ARAD|3005043622S16
05WM070283|WATEAU|3005043703S12
00AM025013|SCHLUMBERGER|3005043746S11
00AL034526|SCHLUMBERGER|3005043851S1X
07022087|ARAD|3005043916S11
08AI0152|TAGUS|3005044076S11
01AU182776|SCHLUMBERGER|3005044157S18
01AU182778|SCHLUMBERGER|3005044165S15
01AA700256|SCHLUMBERGER|3005044254S19
13AI001940|ARAD|3005044440S13
13AC012946|ARAD|3005044475S15
01AU314200|SCHLUMBERGER|3005044483S12
07017036|ARAD|3005044513S12
H15AU171160|SCHLUMBERGER|3005044521W12
07500976|ARAD|3005044548S14
07019548|ARAD|3005044610S13
02PC503272|SCHLUMBERGER|300504470XS17
05WM086921|WATEAU|3005044726S11
02AU155274|SCHLUMBERGER|3005044734S19
01AA700866|SCHLUMBERGER|3005044769S10
12AC026442|ARAD|3005044785S15
11AI001349|ARAD|3005044955S15
10AC009146|ARAD|300504517XS17
09AI00006984|ARAD|3005045382S16
14AI000088|ARAD|300504551XS17
08AC500540|ARAD|3005045536S11
01AU190893|SCHLUMBERGER|3005045552S16
02AU202698|SCHLUMBERGER|3005045560S13
08AC027083|ARAD|3005045587S18
01AU185346|SCHLUMBERGER|3005045773S12
01AU177482|SCHLUMBERGER|3005045889S10
12AC022870|ARAD|3005046109S10
09AC00060585|ARAD|3005046222S16
08AC500236|ARAD|3005046249S10
14T189505|ELSTER|300504632XS17
13AC025190|ARAD|3005046400S13
02AU152913|SCHLUMBERGER|3005046877S18
07023393|ARAD|3005046907S18
O7021306|ARAD|3005047059S10
07300038|ARAD|3005047075S15
09AC00066531|ARAD|3005047091S1X
05IL1F010332|WATEAU|3005047113S12
14M571547|ELSTER|3005047350S13
08AC500496|ARAD|3005047725S15
07022050|ARAD|3005047741S1X
02AU162185|SCHLUMBERGER|3005047776S11
01AA702229|SCHLUMBERGER|3005047792S16
07019284|ARAD|3005047806S11
01AA703941|SCHLUMBERGER|3005047814S19
07T036013|KENT|3005047822S16
01AU174785|SCHLUMBERGER|3005047857S18
00AM044110|SCHLUMBERGER|3005047903S12
02AA560895|SCHLUMBERGER|3005047946S11
07019366|ARAD|3005048039S10
01AA704587|SCHLUMBERGER|300504808XS17
1040AI000471|ARAD|3005048195S15
02AU152919|SCHLUMBERGER|3005048195S15
0740AI00229|ARAD|3005048470S13
07027721|ARAD|3005048551S1X
03AU152331|SCHLUMBERGER|3005048705S15
07019177|ARAD|3005048802S16
0840AI00166|ARAD|3005048810S13
99AQ437659|SCHLUMBERGER|3005048926S11
07500971|ARAD|3005048934S19
10AC013065|ARAD|300504906XS17
06WM106271|WATEAU|3005049159S10
07036233|ARAD|3005049353S12
